"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,0.431575658188663,1.86545293685235,3.53492433345332e-07,1.76746216672666e-05,1.26513081407803e-05,6655,"tags=47%, list=27%, signal=35%","8803/2230/3032/1738/4710/6391/1666/5264/4190/34/3417/4711/4704/4698/4724/9167/10440/2110/56898/36/7388/6389/4729/10935/529/8050/10651/9377/291/7417/10632/515/8802/1350/51318/7381/4329/4697/4694/8604/1892/4707/1327/51660/840/26519/2271/55288/3313/51382/6392/23479/4709/29796/1345/517/7386/5435/6832/51606/3028/1347/56993/1337/38/9550/4712/3419/539/211/9551/518/1737/1528/9131/1349/64960/528/7385/514/10476/4702/10449/56945/10063/4259/1340/54205/3421/4719/521/50/2108/3030","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,0.530394232269364,2.03246113062228,8.94633411855432e-07,2.23658352963858e-05,1.60092294753077e-05,6569,"tags=55%, list=27%, signal=40%","26286/8773/7251/7163/27236/1315/5862/9341/8417/5066/967/11311/6643/9554/51552/6845/10040/57403/8774/5538/3382/2581/81542/10972/51614/3920/6456/22796/286451/9525/667/81611/1182/372/8546/23673/51606/8615/9276/2778/10282/2803/259230/4952/163/9570/164/1176/6647/7103/5868/3875/664","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",177,0.372934689993955,1.59848906704526,0.000218310804210309,0.00363851340350515,0.0026044095940879,4150,"tags=25%, list=17%, signal=21%","2230/2152/966/51440/1519/25801/2157/718/5547/978/308/4321/283/838/3659/54331/5663/30818/1608/1465/1380/2534/1356/801/3660/3988/2885/3717/1284/27445/5265/3920/3937/840/868/5516/1368/1512/760/4199/629/3816/2773/834/4048","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",149,0.389984857094035,1.62343171448016,0.000336560786543211,0.00420700983179014,0.00301133335328136,3817,"tags=29%, list=16%, signal=24%","8803/84263/1429/1149/7358/3032/218/84693/5910/2026/1738/762/8801/6391/1666/5465/4190/34/3417/3248/9246/10455/51478/2110/51170/3422/8608/6389/26275/79602/5092/57515/8802/3158/912/1892/10005/644/2271/3320/131076/760/4199","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",191,0.351777803996199,1.5206103256823,0.000592436076829971,0.00592436076829971,0.00424059507625664,3462,"tags=23%, list=14%, signal=19%","9590/302/2152/6095/7163/58528/2026/2239/8553/5236/5578/7043/901/1027/665/6275/6478/771/3486/136/8609/229/7360/2353/8870/5033/5066/26136/30001/5228/4601/633/1356/2355/8819/26355/7162/3491/3423/25976/55076/55276/230","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.34024125244716,1.4706669191672,0.00148769435237107,0.0123974529364256,0.00887396631238886,5946,"tags=30%, list=24%, signal=23%","27230/10135/5861/8553/5236/5352/7494/3417/5052/8935/7323/8894/6309/7453/116496/3422/5033/134429/26136/30001/79602/5701/6715/80777/6917/6510/8140/900/441024/5706/928/23657/27101/23478/2745/3313/51382/4199/3308/6016/1491/4048/10987/2729/112399/5718/56902/3157/7436/8615/5704/5478/6745/7167/1649/10213/7296/9695/2965/811","Hallmark","Apalu_vs_Control_noDHT"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.482039761815623,-1.66846597554902,0.00615190699849457,0.0439421928463898,0.0314533590900474,8230,"tags=57%, list=34%, signal=38%","705/92856/10171/10528/4609/4173/5347/54663/81887/9064/1019/7374/10733/2193/79711/6949/4174/51154/9238/4839/23082/56915/51491/9136/23223/10514/80324/79050/83743/56342/6723/3177/6573","Hallmark","Apalu_vs_Control_noDHT"
