"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Database","Contrast"
"GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS","GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS","5/199","60/14620",0.0833333333333333,6.12227805695142,4.67031066568336,0.00132264357876691,0.165678511445539,0.159596549282788,"60481/79993/2181/2194/9415",5,"GO_BP","Bica_vs_Control_DHT"
"GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","7/199","124/14620",0.0564516129032258,4.14734965148322,4.13446603321626,0.00153306694545229,0.175404336278155,0.168965344720841,"27347/9466/4345/4681/100532736/4856/81704",7,"GO_BP","Bica_vs_Control_DHT"
"GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS","GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS","4/199","37/14620",0.108108108108108,7.94241477658563,4.96678846837743,0.00154768532010137,0.175404336278155,0.168965344720841,"6611/80150/27232/51166",4,"GO_BP","Bica_vs_Control_DHT"
"GOBP_REGULATION_OF_ANTIBACTERIAL_PEPTIDE_PRODUCTION","GOBP_REGULATION_OF_ANTIBACTERIAL_PEPTIDE_PRODUCTION","2/199","5/14620",0.4,29.3869346733668,7.45747443927909,0.00179435160743078,0.177939867736886,0.171407798288783,"5225/354",2,"GO_BP","Bica_vs_Control_DHT"
"GOBP_REGULATION_OF_ANTIMICROBIAL_PEPTIDE_PRODUCTION","GOBP_REGULATION_OF_ANTIMICROBIAL_PEPTIDE_PRODUCTION","2/199","5/14620",0.4,29.3869346733668,7.45747443927909,0.00179435160743078,0.177939867736886,0.171407798288783,"5225/354",2,"GO_BP","Bica_vs_Control_DHT"
"GOBP_SEQUESTERING_OF_BMP_IN_EXTRACELLULAR_MATRIX","GOBP_SEQUESTERING_OF_BMP_IN_EXTRACELLULAR_MATRIX","2/199","5/14620",0.4,29.3869346733668,7.45747443927909,0.00179435160743078,0.177939867736886,0.171407798288783,"4681/100532736",2,"GO_BP","Bica_vs_Control_DHT"
"GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS","GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS","3/199","19/14620",0.157894736842105,11.6001057921185,5.43104476560119,0.00204952728370985,0.182881940899384,0.176168450808872,"60481/79993/2181",3,"GO_BP","Bica_vs_Control_DHT"
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS","3/199","19/14620",0.157894736842105,11.6001057921185,5.43104476560119,0.00204952728370985,0.182881940899384,0.176168450808872,"4681/100532736/4856",3,"GO_BP","Bica_vs_Control_DHT"
"GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS","GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS","4/199","40/14620",0.1,7.34673366834171,4.72159998362607,0.00207471109423671,0.182881940899384,0.176168450808872,"60481/79993/2181/2194",4,"GO_BP","Bica_vs_Control_DHT"
"GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS","GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS","4/199","41/14620",0.0975609756097561,7.16754504228459,4.64545302772684,0.00227483151126149,0.186693068855253,0.179839674465609,"6585/4681/100532736/4856",4,"GO_BP","Bica_vs_Control_DHT"
