Gene
A1CF
AADAT
AARS2
AATF
ABCA1
ABCA12
ABCB11
ABCB6
ABCC6P2
ABCC8
ABCD4
ABCF1
ABCG1
ABCG2
ABHD10
ABHD2
ABLIM3
ACACA
ACAD8
ACADM
ACKR3
ACOT7
ACOX3
ACP1
ACP3
ACSF2
ACSL1
ACSL3
ACSL6
ACSM1
ACTA2
ACTR3
ACYP2
ADAM2
ADAM7
ADAMTSL4
ADAP1
ADCY1
ADCY7
ADD2
ADGRB2
ADH1C
ADNP-AS1
ADPGK
ADRA1A
AGA
AGO3
AGO4
AGR2
AGTRAP
AIDA
AIG1
AK2
AKAP1
AKAP12
AKR1C3
ALDH1A3
ALDH1A3-AS1
ALDH2
ALDH4A1
ALDH5A1
ALG1
ALG2
ALG3
ALOX12B
AMHR2
AMIGO2
ANAPC13
ANKH
ANO2
ANTXR1
ANXA9
AP3D1
AP3S2
APBB1
APCDD1
APEX2
APH1B
APOL4
ARF1
ARF4
ARHGAP26
ARHGDIG
ARHGEF17
ARHGEF25
ARHGEF40
ARHGEF6
ARL15
ARL6IP5
ARLNC1
ARMC6
ARNT2
ARPIN-AP3S2
ARSG
ASAH1
ASRGL1
ASS1
ASZ1
ATG3
ATOH8
ATOSA
ATP11C
ATP1A2
ATP6V1C1
ATP6V1C2
ATRNL1
AZGP1
AZGP1P1
B2M
B3GALNT2
B4GALT1
BAIAP2
BBOF1
BBS4
BCAM
BCAR3
BCCIP
BCHE
BCL2L12
BDH2
BDNF
BDNF-AS
BEAN1
BEND6
BEST4
BHLHA15
BHLHE40
BHLHE40-AS1
BICD1
BICD2
BMERB1
BMF
BMP1
BMPR1A
BRSK1
BTAF1
C11orf24
C12orf75
C14orf132
C14orf93
C16orf54
C16orf89
C17orf113
C19orf48
C1orf116
C1orf21
C1QL4
C1QTNF6
C1R
C2
C2orf76
C4orf51
CA5BP1
CABLES1
CACNA1B
CACNA1C
CACNA1G
CACNA2D2
CACNB3
CACNG4
CADM1
CADPS2
CALD1
CALU
CAMK1D
CAMK2N1
CAMLG
CAPZA2
CAPZB
CARHSP1
CARMIL1
CAST
CAVIN1
CCDC14
CCDC141
CCDC146
CCDC152
CCDC28B
CCDC47
CCDC50
CCDC69
CCDC80
CCDC83
CCDC92
CCM2
CCN1
CCN3
CCNC
CCNG2
CCSER1
CD200
CD24
CD59
CD83
CD9
CDH24
CDHR1
CDT1
CDV3
CDYL2
CEACAM22P
CEBPA-DT
CEL
CENPN
CENPN-AS1
CENPP
CENPX
CERCAM
CERK
CERS1
CFAP298
CFAP298-TCP10L
CHAF1A
CHCHD3
CHCHD4
CHD7
CHRD
CHRNA2
CHST15
CIART
CISH
CLCC1
CLDN8
CLGN
CLK4
CLMN
CLN5
CLSTN3
CLVS1
CLYBL
CMAS
CMC2
CNBD1
CNIH3
CNN2
CNPY3-GNMT
CNTN2
CNTN5
CNTNAP4
COASY
COL27A1
COL5A1
COL5A2
COLEC12
COLQ
COPB2
COPG1
COPZ1
COQ10A
CORO1B
CORO1C
CORO2A
COX18
CPAMD8
CPB2-AS1
CPE
CPEB3
CPNE1
CPNE3
CPNE5
CPT1C
CRACDL
CRBN
CREB3L4
CREBRF
CRLS1
CRYL1
CSGALNACT1
CSMD1
CSRNP2
CSTPP1
CTIF
CTNNA2
CTNNA3
CTSF
CXCR4
CYTH1
DAB1
DACH1
DAD1
DAPK1
DCAF6
DCP1B
DDC
DDX49
DDX54
DEGS2
DENND2B
DENND4B
DGCR5
DGKB
DHCR24
DHCR7
DHODH
DHX29
DIAPH1
DIMT1
DIPK1A
DIPK2A
DIPK2B
DISP1
DLX3
DMGDH
DNAAF9
DNAJC25
DNAJC3
DNALI1
DNASE2B
DNM1L
DNMT3A
DOCK10
DOCK5
DOCK8
DOHH
DOK4
DPAGT1
DPH2
DPP9
DSEL
DSG4
DTX3
DUBR
DUSP3
DUSP5
DYNLL2
EAF2
EBF2
EBF3
EBNA1BP2
EBP
ECI2
ECPAS
EDEM1
EDN2
EDNRA
EEF2KMT
EFCAB11
EFNA3
EFNB3
EFR3B
EGLN3
EIF1B
EIF2S1
EIF2S2
EIF3B
EIF3I
EIF3J
EIF4E3
ELAPOR1
ELFN2
ELL2
ELOF1
ELOVL5
ELOVL7
EMID1
ENC1
ENDOD1
ENO2
ENTPD5
EPC1
EPDR1
EPM2A
EPS15L1
ERGIC2
ERLEC1
ERMAP
ERO1A
ERP44
ERRFI1
ERV3-1
ERV3-1-ZNF117
ESPN
ESPNP
ESRP2
EVL
EXOSC3
EXTL1
EZR
EZR-AS1
F2RL1
F5
F8
FAAP24
FADS2
FAM13A
FAM177B
FAM182A
FAM182B
FAM30C
FAM66B
FAM66D
FARSA
FASN
FBLN2
FBXL7
FBXO2
FBXO24
FBXO38
FBXO9
FCGR1A
FDFT1
FDPS
FECH
FGD4
FHAD1-AS1
FKBP11
FKBP1A
FKBP1A-SDCBP2
FKBP5
FMN1
FN1
FOLH1B
FOXRED1
FRAT2
FRK
FRMD3
FRMD5
FRMPD1
FSBP
FSTL1
FSTL4
FTL
FUT9
FZD7
GAB3
GABBR1
GABRA3
GALNT10
GALNT14
GALNT2
GALNT3
GALNT7
GARNL3
GARS1
GAS6-AS1
GATD3
GBF1
GBP1
GCAT
GCG
GDF1
GDNF-AS1
GFM1
GLB1L2
GLIPR1L2
GLMP
GLRX2
GLUD1
GLUD2
GMDS
GMPPB
GNB4
GNG13
GNL2
GNMT
GOLGA2
GOLGA2P6
GOLGA6L10
GOLGA6L17P
GOLGA6L4
GOLGA6L5P
GOLGA6L9
GOLGA8A
GOLGA8B
GOLGA8Q
GOLGA8R
GORASP2
GOT1
GPR89A
GPRIN1
GRAMD4
GRB10
GREB1
GRIK1
GRIK2
GRK3
GRK4
GRPEL1
GSDMD
GSDME
GSKIP
GSR
GSTA1
GTF2E2
GTF2IP1
GTF2IP4
GTF2IRD2
GTF2IRD2B
GUCY1A1
GUSBP1
GUSBP14
GUSBP16
GUSBP2
GUSBP4
H1-4
H1-5
H2BC12
H2BC13
H2BC20P
HADHB
HCN3
HCP5
HECTD2
HECW2-AS1
HERC2P2
HERC3
HES6
HGH1
HHIPL2
HIBADH
HIBCH
HID1
HK1
HLA-A
HLA-DMA
HLA-H
HMGCR
HMGCS1
HMGN4
HMGXB3
HOMER2
HOXA10
HOXA10-AS
HOXA10-HOXA9
HOXA11
HOXA11-AS
HOXA9
HPGD
HRK
HS6ST2
HS6ST3
HSD17B11
HSD17B14
HSD17B4
HSPA4
HTR2C
HTRA1
HUS1
IDH1
IDI1
IDI2-AS1
IFI27L2
IFRD2
IFT57
IGF1R
IGFBP3
IGHG3
IHH
IL10RB-DT
IL17D
IL17REL
IL1B
IL27RA
ILVBL
IMMP1L
IMPA2
IMPDH1
INHBB
INHBC
INPP4B
INSIG1
IPPK
IQCG
IQCN
IQGAP2
IRF5
IRS2
ISM2
ITGA1
ITGAV
ITGB1BP1
ITM2C
ITPR1
JAK2
JARID2
JAZF1
JDP2
JPH1
JPT2
KALRN
KCNAB1
KCNG1
KCNG3
KCNK3
KCNN2
KCNS3
KCTD15
KCTD9
KDELR2
KHDRBS3
KIF13B
KIF22
KIFC3
KLF15
KLF16
KLHDC4
KLHL13
KLHL29
KLK2
KLK3
KRT18
KRTAP5-2
KRTAP5-AS1
LACTB2
LACTB2-AS1
LAD1
LAMB1
LAMC1
LAMC1-AS1
LAMTOR3
LAPTM4B
LAT2
LDAF1
LDB1
LDLR
LEF1
LGALS3BP
LGMN
LIF
LIMCH1
LINC00472
LINC00648
LINC01003
LINC01279
LINC01297
LINC01322
LINC01411
LINC01518
LINC01778
LINC01786
LINC01843
LINC01961
LINC02210
LINC02315
LINC02600
LINC02614
LINC02666
LINC02672
LINC02693
LLPH
LMAN1
LOC100128288
LOC100130744
LOC100134868
LOC100272217
LOC100506023
LOC100508046
LOC101927078
LOC101927345
LOC101928589
LOC101929479
LOC101929572
LOC101929638
LOC102723340
LOC102723696
LOC102723750
LOC102724023
LOC102724093
LOC102724159
LOC102724851
LOC105369228
LOC105369315
LOC105369618
LOC105369937
LOC105370728
LOC105370928
LOC105371275
LOC105371601
LOC105371701
LOC105372582
LOC105372768
LOC105372809
LOC105373046
LOC105373148
LOC105373191
LOC105373770
LOC105374041
LOC105374042
LOC105374193
