Gene
A1CF
AACS
AADAT
AAMDC
AAMP
AARS2
AATF
ABALON
ABCA1
ABCA12
ABCB11
ABCB6
ABCB8
ABCC1
ABCC11
ABCC4
ABCC6P1
ABCC6P2
ABCC8
ABCD4
ABCF1
ABCF2
ABCF2-H2BK1
ABCF3
ABCG1
ABCG2
ABHD10
ABHD14A
ABHD17C
ABHD2
ABLIM2
ABLIM3
ABTB1
ACACA
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACAT1
ACAT2
ACBD4
ACBD6
ACKR3
ACLY
ACOT7
ACOX3
ACP1
ACP3
ACP4
ACRV1
ACSF2
ACSL1
ACSL3
ACSL6
ACSM1
ACSS3
ACTA2
ACTN1
ACTR1A
ACTR3C
ACYP2
ADAL
ADAM2
ADAM7
ADAMTS17
ADAMTS2
ADAMTSL4
ADAMTSL4-AS2
ADAP1
ADCY1
ADD2
ADGRB1
ADGRE5
ADGRV1
ADH1C
ADIPOR1
ADNP-AS1
ADPGK
ADRA1A
ADRB1
ADSS1
ADSS2
AFF3
AFG3L2
AFMID
AGA
AGAP11
AGAP9
AGFG2
AGO3
AGO4
AGR2
AGTRAP
AHNAK
AHSA1
AHSA2P
AIDA
AIFM1
AIG1
AK1
AK2
AK4
AKAP1
AKAP12
AKAP13
AKAP5
AKR1C1
AKR1C2
AKR1C3
AKT1S1
ALCAM
ALDH1A3
ALDH1A3-AS1
ALDH2
ALDH4A1
ALDH5A1
ALDH6A1
ALDOA
ALG1
ALG2
ALG3
ALG8
ALOX12B
ALX4
AMACR
AMD1
AMDHD1
AMHR2
AMIGO2
AMN1
AMT
AMZ2P1
ANAPC13
ANKEF1
ANKRD11
ANKRD18CP
ANKRD20A12P
ANKRD20A19P
ANKRD27
ANKRD28
ANKRD44
ANKRD65
ANO2
ANO9
ANTXR1
ANXA9
AOC1
AOC2
AP1B1
AP1G1
AP1S3
AP3D1
AP3M1
AP3S2
AP5S1
APBB3
APCDD1
APEH
APEX2
APH1B
APLF
APMAP
APOBEC3F
APOL4
APRT
ARCN1
ARF1
ARF6
ARFIP1
ARHGAP1
ARHGAP20
ARHGAP26
ARHGAP27
